3/2,4/2,5/2,6/2,7/2,8/2,9/2,10/2,11/2,12/2,13/2,14/2,15/2,16/2,17/2
12,13,14,15,16,17,18,19,29,39,49,59,69,79,89
 , ,23,24,25,26,27,28,38,48,58,68,78, , 
 , , , ,34,35,36,37,47,57,67, , , , 
 , , , , , ,45,46,56, , , , , , 

6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3
123,124,125,126,127,128,129,139,149,159,169,179,189,289,389,489,589,689,789
 , ,134,135,136,137,138,148,158,168,178,269,279,379,479,579,679, , 
 , , ,234,145,146,147,157,167,249,259,278,369,469,569,678, , , 
 , , , ,235,236,156,238,239,258,268,359,378,478,578, , , , 
 , , , , ,245,237,247,248,267,349,368,459,568, , , , , 
 , , , , , ,246,256,257,348,358,458,468, , , , , , 
 , , , , , ,345,346,347,357,367,467,567, , , , , , 
 , , , , , , , ,356,456,457, , , , , , , , 

10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4
1234,1235,1236,1237,1238,1239,1249,1259,1269,1279,1289,1389,1489,1589,1689,1789,2789,3789,4789,5789,6789
 , ,1245,1246,1247,1248,1258,1268,1278,1369,1379,1479,1579,1679,2589,2689,3689,4689,5689, , 
 , , ,1345,1256,1257,1267,1349,1359,1378,1469,1569,1678,2489,2679,3589,4589,5679, , , 
 , , , ,1346,1347,1348,1358,1368,1459,1478,1578,2389,2579,3489,3679,4679, , , , 
 , , , ,2345,1356,1357,1367,1458,1468,1568,2379,2479,2678,3579,4579,5678, , , , 
 , , , , ,2346,1456,1457,1467,1567,2369,2469,2569,3479,3678,4678, , , , , 
 , , , , , ,2347,2348,2349,2359,2378,2478,2578,3569,4569, , , , , , 
 , , , , , ,2356,2357,2358,2368,2459,2568,3469,3578,4578, , , , , , 
 , , , , , , ,2456,2367,2458,2468,3459,3478,4568, , , , , , , 
 , , , , , , , ,2457,2467,2567,3468,3568, , , , , , , , 
 , , , , , , , ,3456,3457,3458,3567,4567, , , , , , , , 
 , , , , , , , , , ,3467, , , , , , , , , , 

15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,32/5,33/5,34/5,35/5
12345,12346,12347,12348,12349,12359,12369,12379,12389,12489,12589,12689,12789,13789,14789,15789,16789,26789,36789,46789,56789
 , ,12356,12357,12358,12368,12378,12469,12479,12579,12679,13589,13689,14689,15689,24789,25789,35789,45789, , 
 , , ,12456,12367,12458,12459,12478,12569,12678,13489,13679,14589,15679,23789,25689,34789,45689, , , 
 , , , ,12457,12467,12468,12568,12578,13479,13579,14579,14679,23689,24689,34689,35689, , , , 
 , , , ,13456,13457,12567,13459,13469,13569,13678,14678,15678,24589,25679,35679,45679, , , , 
 , , , , ,23456,13458,13468,13478,13578,14569,23489,23589,24679,34589,45678, , , , , 
 , , , , , ,13467,13567,13568,14568,14578,23579,23679,25678,34679, , , , , , 
 , , , , , ,23457,23458,14567,23469,23479,23678,24579,34579,35678, , , , , , 
 , , , , , , ,23467,23459,23478,23569,24569,24678,34678, , , , , , , 
 , , , , , , , ,23468,23568,23578,24578,34569, , , , , , , , 
 , , , , , , , ,23567,24567,24568,34568,34578, , , , , , , , 
 , , , , , , , , , ,34567, , , , , , , , , , 
